AANG1	Peachtree Creek at Atlanta
DLYW2	Tygart Valley River at Dailey
DMDM4	Grand River at Dimondale
DMOI4	Des Moines River at Des Moines 2nd Ave
DMRM8	Milk River near Dodson
DMWI4	Raccoon River (Central IA) at Des Moines IA 28
DMYT2	Middle Yegua Creek near Dime Box
DNCN1	Platte River near Duncan
DNDM4	River Raisin at Dundee
DNLF1	Withlacoochee River (FL) at Dunnellon
DNNT2	Brazos River near Dennis
DNSM3	Nashua River at East Pepperell
DNSM3MER	
DNVC2	South Platte River at Denver
DNVI2	Vermilion River (E-IL) near Danville
DNZM7	Current River at Doniphan
DONL1	Mississippi River at Donaldsonville
DOTW1	Chehalis River near Doty
DOUF1	Suwannee River at Dowling Park (CR 250)
DOVM1	Piscataquis River at Dover-Foxcroft
DOVM1ME	
DOVM3	Charles River at Dover
DOVM3SNE	
DOVO2	Cimarron River near Dover
DOVT1	Cumberland River at Dover
DRBC2	Clear Creek (CO) at Derby
DRBK1	Arkansas River at Derby
DRCM7	Dardenne Creek at St. Peters
DREI3	Driftwood River near Edinburgh
DRGC2	Animas River at Durango
DRGN1	West Fork Big Blue River near Dorchester
DRMM8	Clark Fork River near Drummond
DRRC2	Dolores River near Rico
DRSW1	Dungeness River near Sequim
DRTN8	Red River of the North at Drayton
DSBT2	Sabana River near DeLeon
DSCA4	White River at Des Arc
DSHP1	Ohio River at Dashields Lock and Dam
DSNG1	Kinchafoonee Creek at 11 E of Dawson at Pinewood Rd in Lee County
DSOK1	Kansas River at De Soto
DSPI2	Des Plaines River near Des Plaines
DSRW1	Deschutes River near Rainier
DTNO1	Great Miami River at Dayton
DTTM8	Teton River near Dutton
DUBW4	Wind River near Dubois
DUNK2	Rough River near Dundee
DUPT2	Guadalupe River near Bloomington
DURO2	Washita River near Dickson
DURW3	Chippewa River (WI) at Durand
DVLV2	Dan River at Danville
DVSI4	Thompson River (IA/MO) at Davis City
DVSS2	Vermillion River near Davis
DWEN1	Little Blue River near Deweese
DWSG1	Etowah River near Dawsonville
DWYT2	Sabine River at Deweyville
DXRI2	Rock River at Dixon
DYET1	North Fork Forked Deer River at Dyersburg
EAGM4	Looking Glass River near Eagle
EAGN6	Hoosic River at Eagle Bridge
EAGN6HUD	
EASI1	Moyie River at Eastport
EAST2	Navasota River near Easterly
EBBT2	San Bernard River at East Bernard
EBKV1	Missisquoi River at East Berkshire
EBKV1LCH	
EBZN6	Cazenovia Creek at Ebenezer
EBZN6GRL	
ECAU1	East Canyon Creek near Jeremy Ranch
ECDO3	Elk creek near Drain
ECLW3	Chippewa River (WI) at Eau Claire
ECMP1	Little Conemaugh River at East Conemaugh
ECOF1	Econfina River near Perry (CR 655)
ECPU1	East Canyon Creek near Park City
ECRW4	Encampment River at Mouth near Encampment
EDDM1	Penobscot River at Eddington
EDDM1ME	
EDEG1	Ogeechee River near Eden
EDEK1	Walnut River near El Dorado
EDGM8	Clarks Fork of the Yellowstone at Edgar
EDNT2	Lavaca River near Edna
EDWK1	Walnut River at El Dorado
EDYI4	Des Moines River near Eddyville
EFDN7	Fishing Creek near Enfield
EFFS1	Lynches River at Effingham
EFWI4	North Raccoon River (IA) near Jefferson
EGFM5	Red River of the North at East Grand Forks
EKDI4	Turkey River at Elkader
EKMI3	St. Joseph River (MI/IN) at Elkhart
ELBA1	Pea River at Elba (US 84)
ELDO2	Baron Fork at Eldon
ELFF1	Anclote River (FL) at Elfers
ELHC2	Elkhead Creek near Hayden
ELKK2	Russell Fork at Elkhorn City
ELKN7	Yadkin River at Elkin
ELLF1	Suwannee River at Ellaville (US 90)
ELLI3	White River (IN) at Elliston
ELLK1	Big Creek at Ellis
ELMT2	San Antonio River at Elmendorf
ELNM4	Red Cedar River at East Lansing
ELNO2	North Canadian River near El Reno
ELRO1	Black River at Elyria
ELRP1	Allegheny River at Eldred
ELTT2	Beaver Creek (TX) near Electra
ELVO1	Ohio River at EAST LIVERPOOL
ELVT2	
ELWK1	Smoky Hill River at Ellsworth
ELWW1	Elwha River at Elwha R
ELZN7	Cape Fear River at Elizabethtown
ELZP1	Monongahela River at Elizabeth Lock and Dam
ELZW2	Little Kanawha River at Elizabeth
EMBT1	Nolichucky River at Embreeville
EMCM7	Jacks Fork at Eminence
EMPK1	Cottonwood River at Emporia
EMSS2	Belle Fourche River near Elm Springs
EMTI4	West Fork Des Moines River at Emmetsburg
ENBM6	Pearl River at Edinburg
ENDN8	Maple River (09020205) at Enderlin
ENGG1	Lookout Creek at New England
ENGO1	Stillwater River above Englewood
ENMC2	Elk River (CO) near Milner
ENNA2	Tanana River at Nenana
ENSM6	Chickasawhay River at Enterprise
ENTK1	Smoky Hill River at Enterprise
ENTO1	Hocking River at Enterprise
ENVI1	Coeur d'Alene River at Enaville
ENWK1	Crooked Creek (KS) near Englewood
EOKI4	Mississippi River at Keokuk
EPOV2	Meherrin River at Emporia
EPRK1	Neosho River at Emporia
ERBA2	Eagle River at Glenn Hwy Bridge
EREK1	Neosho River near Erie
ERKM7	Meramec River near Eureka
ERNM8	Milk River at Eastern Crossing nr Rudyard
ESCU1	
ESSM8	
ESSV1	Winooski River at Essex Junction
ESSV1LCH	
ESTK1	Stranger Creek at Easton
ESTO3	Clackamas River near Estacada
ESVI4	West Fork Des Moines River at Estherville
ETAM6	Little Tallahatchie River at Etta
ETNM4	Grand River at Eaton Rapids
EVAW4	Bear River at Evanston
EVDT2	Neches River at Evadale
EVRG1	Altamaha River near Everett City
EVRM4	Muskegon River at Evart
EVVI3	Ohio River at Evansville
EWIN1	Elkhorn River at Ewing
EWMM7	Middle Fabius River near Ewing
EWNM7	North Fabius River near Ewing
FACT2	San Antonio River near Falls City
FAFT2	Los Olmos Creek at Falfurrias
FATW3	Rock River at Fort Atkinson
FAVM2	Conococheague Creek at Fairview
FAVM2CNC	
FAYN7	Cape Fear River at Fayetteville
FBCT2	
FBGM3	North Nashua River at Fitchburg
FBGM3MER	
FCFM8	North Fork Flathead River near Columbia Falls
FCHC2	Fountain Creek at Pueblo
FCHW4	Fontenelle Creek near Herschler Ranch
FCTT2	Cibolo Creek near Falls City
FCWT2	Lake Creek above The Woodlands
FDBV2	Rappahannock River above Fredericksburg
FDBV2RAP	
FDKM2	Monocacy River near Frederick at Interstate 70
FDKM2MCY	
FDLP1	Stonycreek River at Ferndale
FDYO1	Blanchard River at Findlay
FEEI2	Pecatonica River at Freeport
FELA4	Ouachita River at Felsenthal Lock and Dam
FFMO1	Sandusky River near S Fremont
FFTK2	Kentucky River at Frankfort Lock
FFXM7	Tarkio River near Fairfax
FFXW1	Carbon River near Fairfax
FGOM4	Black River near Jeddo
FGON8	Red River of the North at Fargo
FHAC2	Fountain Creek near Fountain
FIHM1	Fish River at Fort Kent
FIHM1ME	
FISC2	
FISM8	Fisher River near Libby
FKFK1	Black Vermillion River at Frankfort
FKLW2	South Branch Potomac River at Franklin
FKLW2POT	
FKNO1	Great Miami River at Franklin
FKNV2	Blackwater River (VA) above Franklin
FLAW4	Laramie River near Fort Laramie
FLCI3	Flatrock River at Columbus
FLCN7	French Broad River at Fletcher
FLCW3	Eau Claire River near Fall Creek
FLGW4	Snake River at Flagg Ranch
FLLN1	Big Nemaha River at Falls City
FLLN6	Fall Creek at Ithaca
FLLN6GRL	
FLMA1	Big Escambia Creek at Flomaton
FLMK2	Licking River at Falmouth
FLOW3	Menominee River near Florence
FLRK1	Cottonwood River near Florence
FLRK2	Big Sandy River (KY) at Fullers Station
FLSL1	Tchefuncte River near Folsom
FLTA4	Red River at Fulton
FLTI2	Mississippi River at Fulton
FLTM4	Flint River at Flint
FLVC3	Housatonic River at Falls Village
FLVC3SNE	
FLVT2	San Antonio River near Floresville
FMKA2	Fortymile River at Walker Fork
FMMA2	Fortymile River at Mosquito Fork
FMRA2	Fortymile River above Fortymile River at Taylor Hwy
FMWA2	Fortymile River at West Fork
FNEC2	Fountain Creek at Colorado Springs
FNHI4	West Fork Cedar River at Finchford
FODI4	Des Moines River at Fort Dodge
FODK2	Kentucky River at Ford Lock
FOMC2	South Platte River at Fort Morgan
FORS2	James River near Forestburg
FOWF1	Hillsborough River (FL) at Fowler Avenue
FOXN8	Souris River near Foxholm
FPTC2	Frying Pan River near Thomasville
FRAT1	Harpeth River at Franklin
FRAW4	Pine Creek above Fremont Lake
FRBN1	Little Blue River near Fairbury
FRBT2	Pedernales River at Fredericksburg
FRDI3	Blue River (IN) at Fredericksburg
FREI3	White River (IN) at Edwardsport
FREP1	Allegheny River at Freeport Lock and Dam
FRGM4	near Fergus
FRGO2	Cimarron River (KS) near Forgan
FRJN3	Merrimack River at Franklin Jct.
FRJN3MER	
FRKP1	Allegheny River at Franklin
FRKW3	Root River at Franklin
FRMV2	Appomattox River at Farmville
FRMV2AMX	
FRNC1	Eel River (CA) at Fernbridge
FRNK1	Fall River (KS) at Fredonia
FRNL1	Bogue Chitto River at Franklinton
FRNM4	Cass River at Frankenmuth
FROV2	South Fork Shenandoah River at Front Royal
FROV2SHN	
FRRU1	
FRSO2	Muddy Boggy Creek near Farris
FRWC2	Fraser River (CO) at Winter Park
FRYM8	Yellowstone River at Forsyth
FRYW1	Kettle River near Ferry
FSHA1	Fish River (AL) near Silverhill
FSHN6	East Branch Delaware River at Fishs Eddy
FSHN6DEL	
FSKK1	Marmaton River at Fort Scott
FSKM7	St. Francis River at Fisk
FSMI3	Iroquois River near Foresman
FSRM4	Clinton River near Clinton Township
FSSO3	Nehalem River near Foss
FTDC2	Cache La Poudre River (CO) at Canyon Mouth above Fort Collins
FTEN6	Hudson River at Fort Edward
FTEN6HUD	
FTHS2	Moreau River (SD) near Faith
FTJC1	Scott River near Fort Jones
FTJO1	Auglaize River at Ft. Jennings
FTKM1	St. John River at Fort Kent
FTKM1ME	
FTNK1	Little Osage River at Fulton
FTPS2	Bad River (SD) near Fort Pierre
FTRK1	Kansas River at Ft. Riley
FTRM5	Mississippi River at Fort Ripley
FTSC1	Eel River (CA) near Fort Seward
FTWF1	Santa Fe River near Hildreth
FTWI3	Maumee River at Fort Wayne
FULM6	Tombigbee River near Fulton
FULN1	Cedar River (NE) near Fullerton
FWHF1	Santa Fe River near Fort White
FWHT2	Clear Fork Trinity River at Fort Worth
FWOT2	West Fork Trinity River at Fort Worth
FYTM7	Moniteau Creek near Fayette
FYTT1	Elk River (TN) near Fayetteville
GACM4	Middle Rouge at Dearborn Heights
GADS1	Congaree River at Congaree National Park
GAKA2	Gakona River at Tok Cutoff Bridge
GALS1	Little Pee Dee River near Galivants Ferry
GALW2	Ohio River at R C Byrd Lock
GALW3	Black River (WI) at Galesville
GAPA1	Coosa River at Gadsden
GAST2	Leon River at Gatesville
GATV2	North Fork Holston River near Gate City
GAXV2	New River at Galax
GAYC3	Housatonic River at Gaylordsville
GAYC3SNE	
GAZM7	Grand River near Gallatin
GBBN1	Wood River near Gibbon
GBCT2	Guadalupe River below Comal
GBDA2	Goodpaster River near Big Delta
GBHT2	Greens Bayou at Houston
GBLT2	Greens Bayou near Houston
GCEN8	James River near Grace City
GCKK1	Arkansas River at Garden City
GCSA2	Susitna River at Gold Creek
GCTI2	Ohio River at Grand Chain Lock and Dam
GDEK1	N F Solomon River at Glade
GDHM6	Pearl River near Lena
GDLM4	Grand River at Grand Ledge
GDRM4	Grand River at Grand Rapids
GDVN6	Buffalo Creek at Gardenville
GDVN6GRL	
GDWT2	Sabine River near Gladewater
GEEM6	Mississippi River near Greenville
GELN1	Loup River near Genoa
GENF1	St. Johns River above Lake Harney
GENI2	Green River (IL) near Geneseo
GENW3	Mississippi River at Genoa
GEOA4	White River at Georgetown
GEON1	Beaver Creek (Loup River tributary) at Genoa
GEOT2	
GERO1	Twin Creek near Germantown
GERT1	Wolf River at Germantown
GETT2	San Gabriel River at Georgetown South Fork
GFFN3	Piscataquog River at Goffstown
GFFN3MER	
GFLW1	South Fork Stillaguamish River near Granite Falls
GGYM7	Mississippi River at Gregory Landing
GIBO3	Umatilla River near Gibbon
GILN6	Schoharie Creek at Gilboa Dam
GIVS1	Edisto River near Givhans Ferry
GLAK1	Solomon River near Glasco
GLBA4	
GLBW1	Skykomish River near Gold Bar
GLDC2	Clear Creek (CO) at Golden
GLDI2	Mississippi River at Gladstone
GLDN7	Neuse River near Goldsboro
GLEW2	Little Kanawha River at Glenville
GLFM6	Wolf River above Gulfport
GLGM8	Gallatin River near Gallatin Gateway
GLIT2	San Antonio River at Goliad
GLLT2	Elm Fork Trinity River at Gainesville
GLLV2	New River at Glen Lyn
GLML1	Calcasieu River near Glenmora
GLNM7	James River (MO) at Galena
GLNM8	Yellowstone River at Glendive
GLNW4	North Platte River near Glenrock
GLOO2	Glover River at Glover
GLRT2	Brazos River near Glen Rose
GLWM8	Milk River near Glasgow
GLZM7	Missouri River at Glasgow
GMIW3	Kickapoo River at Gays Mills
GNCK2	Eagle Creek (KY) near Glencoe
GNDL1	Atchafalaya River at Myette Point/Grand Lake
GNDT2	West Mustang Creek near Ganado
GNEN6	Chenango River at Greene
GNEN6CHN	
GNLT2	Guadalupe River at Gonzales
GNNM4	Escanaba River at Gwinn
GNSA1	Tombigbee River at Gainesville Lock and Dam
GNUK2	Ohio River at Lloyd Greenup Lock
GNVA1	Choctawhatchee River at Geneva (SR 52)
GNVN6	Seneca Lake at Geneva
GNVT2	Cowleech Fork Sabine River at Greenville
GOFN3	Merrimack River at Goffs Falls
GOFN3MER	
GOLI2	Ohio River at Golconda
GOLN5	Mora River near Golondrinas
GOVK1	Hackberry Creek at Gove
GOWN6	Cattaraugus Creek at Gowanda
GOWN6GRL	
GPOA2	Gulkana River at Paxson Lake Outlet
GPRT2	West Fork Trinity River at Grand Prairie
GRAP1	Perkiomen Creek at Graterford
GRAP1PKN	
GRBI4	Turkey River at Garber
GRBN6	Oatka Creek at Garbutt
GRBN6GRL	
GRDN2	East Fork Carson River near Gardnerville
GRDN6	Wallkill at Gardiner
GRDN6HUD	
GREI2	Salt Creek (IL) near Greenview
GREL1	Red River at Grand Ecore
GREM6	Yazoo River at Greenwood
GRIN1	Platte River near Grand Island
GRIT2	Trinity River near Goodrich
GRMI4	Beaver Creek (Central IA) near Grimes
GRMN3	Androscoggin River at Gorham
GRMN3ME	
GRNM1	Penobscot River above Grindstone
GRNM1ME	
GRNN1	Salt Creek near Greenwood
GRNN8	Park River at Grafton
GROT2	Paluxy River at Glen Rose
GRPC2	Cache La Poudre River (CO) near Greeley
GRRO1	Maumee River at Grand Rapids
GRSA2	Gulkana River at Sourdough
GRST2	Navasota River above Groesbeck
GRTW2	Little Kanawha River at Grantsville
GRVA4	Fourche LaFave River near Gravelly
GRVC2	
GSCM7	Missouri River at Gasconade
GSHI3	Elkhart River at Goshen
GSLS1	Saluda River near Greenville north of Old Easley Rd
GSVT2	Red River near Gainesville
GTBK1	Arkansas River at Great Bend
GTBM3	Housatonic River at Great Barrington
GTBM3SNE	
GTEM5	Minnesota River at Granite Falls
GTRO2	Cimarron River near Guthrie
GTTI4	Mississippi River at Guttenberg
GUCO2	Cottonwood Creek (OK) at Guthrie
GUIN1	Republican River at Guide Rock
GULA2	Gulkana River at Richardson Highway Bridge
GUNI2	Des Plaines River near Gurnee
GVVN6	Mettawee River at Middle Granville
GVVN6LCH	
GYBW4	Big Horn River at Greybull
GYLP1	Monongahela River at Grays Landing Lock and Dam
GYMO2	
GYNK2	Little Sandy River at Grayson
GYSK1	
HAGW1	Hangman/Latah Creek at Spokane
HAIN1	Arikaree River at Haigler
HAIV2	Russell Fork River at Haysi
HAKT2	Sabine River near Hawkins
HALI1	Big Wood River at Hailey
HAMO1	Great Miami River at Hamilton
HANO1	Ohio River at Hannibal Lock and Dam
HANW4	Medicine Bow River near Hanna
HARP1	Susquehanna River at Harrisburg
HARP1SUQ	
HATM6	Leaf River at Hattiesburg
HAVI2	Illinois River near Havana
HAVK1	Arkansas River near Haven
HAWG1	Ocmulgee River at Hawkinsville
HAWI4	Big Sioux River at Hawarden
HAWN7	Haw River at Haw River
HAZI3	White River (IN) at Hazleton
HAZK2	North Fork Kentucky River at Hazard
HBGK1	Little Blue River near Hollenberg
HBGM6	Bouie Creek near Hattiesburg
HBLN1	North Fork Big Nemaha River near Humboldt
HBMN2	Humboldt River at Battle Mountain
HBMT2	Brays Bayou at Houston
HBTI4	West Fork Des Moines River at Humboldt
HCHK1	Arkansas River at Hutchinson
HDDI3	Hart Ditch at Dyer
HDLN6	Sacandaga River at Hadley
HDLN6H	
HDLN6HUD	
HDYA4	Spring River (AR) at Hardy
HDYN1	Republican River near Hardy
HDYN6	Hudson River at Hadley
HDYN6HUD	
HEAO2	North Fork of the Red River near Headrick
HEEA4	Mississippi River at Helena
HENM5	Minnesota River at Henderson
HENN1	North Platte River near Henry
HENN3	Contoocook River at Henniker
HENN3MER	
HERP1	Swatara Creek near Hershey
HERP1SWT	
HEUN6	Oswegatchie River near Heuvelton
HEUN6STL	
HFEW2	Potomac River at Harpers Ferry
HFEW2POT	
HFFT2	Luce Bayou near Huffman
HGBT2	Greens Bayou near Houston
HGRN8	Goose River (09020109) at Hillsboro
HGSP1	Conodoguinet Creek near Hogestown
HGSP1CDG	
HGTT2	White Oak Bayou at Houston
HHTM4	Sycamore Creek near Holt
HIBK2	Kentucky River at High Bridge Lock
HIBT2	Brazos River near Highbank
HICN8	Red River of the North near Hickson
HICT2	North Bosque River at Hico
HIGM5	Red Lake River at High Landing
HIKN6	West Canada Creek at Hinckley Dam
HILN8	Red River of the North at Halstad
HILW3	
HINW2	New River at Hinton
HLDF1	Withlacoochee River (FL) at Holder
HLDK2	Kentucky River at Heidelberg
HLEN6	West Branch Delaware River at Hale Eddy
HLEN6DEL	
HLLM5	Two Rivers River at Hallock
HLST1	South Fork Forked Deer River near Halls
HLWM8	Musselshell River near Harlowton
HMBI4	Nishnabotna River near Hamburg
HMFW4	Hams Fork above Viva Naughton Reservoir
HMGM4	Huron River at Hamburg
HMLT1	Duck River near Hurricane Mills
HMLT2	Leon River near Hamilton
HMMT2	West Fork San Jacinto River near Humble
HNDC2	South Platte River at Henderson
HNDM5	Wild Rice River (MN) at Hendrum
HNKI4	West Nishnabotna River near Hancock
HNKM2	Potomac River at Hancock
HNKM2POT	
HNNM7	Mississippi River at Hannibal
HNRA2	Nenana River at Healy
HNTT2	Guadalupe River at Hunt
HNTW2	Ohio River at Huntington
HNYI2	Illinois River near Henry
HNYN6	Honeoye Creek at Honeoye Falls
HNYN6GRL	
HODO3	Hood River near Hood River
HOKI4	West Fork Ditch near Hornick
HOKN7	Contentnea Creek at Hookerton
HOLL1	Tickfaw River at Holden
HOON1	
HOPN6	Sacandaga River at Hope
HOPN6HUD	
HOPR1	Wood River at Hope Valley
HOPR1SNE	
HOTI1	Bruneau River at Hot Springs
HOUM5	Root River (MN) at Houston
HPDT2	Brazos River near Hempstead
HRAG1	Little River (SW Georgia) near Hahira (SR 122)
HRDM8	Little Bighorn River near Hardin
HREN2	Humboldt River near Elko
HRGA4	Little River at Horatio
HRHO2	North Canadian River near Harrah
HRKV2	James River (VA) at Holcomb Rock
HRKV2JMS	
HRLM8	Milk River near Harlem
HRMU1	Blacksmith Fork River near Hyrum
HRNM7	Missouri River at Hermann
HRVM4	Chocolay River near Harvey
HSKO2	Arkansas River near Haskell
HSLT2	
HSPN7	French Broad River near Hot Springs
HSTM4	Thornapple River at Hastings
HSTM5	Mississippi River at Hastings - Lock and Dam 2 Tailwater
HTCK1	Cow Creek above Hutchinson
HTDK1	Little Arkansas River near Halstead
HTNM7	Little Osage River at Horton
HTST2	Lavaca River at Hallettsville
HTVP1	Swatara Creek at Harper Tavern
HTVP1SWT	
HUDI4	Black Hawk Creek (Northeast IA) at Hudson
HUFI3	Wabash River at Terre Haute
HUJP1	Juniata River at Huntingdon
HUJP1JUN	
HUMM4	Middle Branch Escanaba River at Humboldt
HURS2	James River at Huron
HUSA4	Fourche LaFave River near Houston
HUTI2	Wabash River near Hutsonville
HVDN6	East Branch Delaware River at Harvard
HVDN6DEL	
HVNF1	Ochlockonee River near Havana (US 27)
HVRM8	Milk River at Havre
HVRO2	Wildhorse Creek near Hoover
HWDI4	Big Sioux River above Hawarden
HWDN8	Sheyenne River at Harwood
HWLT2	Clear Fork Brazos River at Hawley
HWYM5	Buffalo River (09020106) at Hawley
HWYP1	Lackawaxen River at Hawley
HWYP1LWX	
HYSK1	Big Creek near Hays
HZLM7	Gasconade River near Hazelgreen
HZNN8	Knife River (ND) near Hazen
ICLI4	Nodaway River at Clarinda
ID8S2	Turtle Creek at Redfield
IDBO2	Little River near Idabel
IDNI4	Middle River (Central IA) near Indianola
IDPI4	Wapsipinicon River at Independence
IDPK1	Verdigris River at Independence
ILNI2	Mississippi River at Illinois City
ILRA2	Iliamna River near Pedro Bay
ILTP1	West Branch Susquehanna River at West Milton
ILTP1WBS	
IMBA4	Spring River (AR) at Imboden
IMNO3	Imnaha River at Imnaha
INDI3	White River (IN) at Raymond Street in Indianapolis
INDM3	Chicopee River at Indian Orchard
INDM3CT	
INDO1	Cuyahoga River at Independence
INGA4	Red River at Index
INKM4	Lower Rouge at Inkster
INOO2	Verdigris River near Inola
INRN6	Indian River below Indian Lake
INRN6HUD	
IOLK1	Neosho River at Iola
IONM4	Grand River at Ionia
IOWI4	Iowa River at Iowa City
IRAT2	Colorado River (TX) near Ira 4SW...below J. B. Thomas
IRCT1	Shoal Creek near Iron City
IRQI2	Iroquois River at Iroquois
ISKQ2	Iskut River below Johnson River
ITHN1	Wahoo Creek at Ithaca
JACM4	Grand River at Jackson
JACM6	Pearl River at Jackson
JAKT2	West Fork Trinity River near Jacksboro
JAMS1	Santee River near Jamestown
JANI4	Cedar River at Janesville
JCKM5	West Fork Des Moines River at Jackson
JCMM7	Moreau River (MO) near Jefferson City
JCTT2	North Llano River near Junction
JCYC3	Quinebaug River below Jewett City
JCYC3SNE	
JDNM5	Minnesota River at Jordan
JEFT2	Black Cypress Bayou near Jefferson
JFET2	Big Cypress Creek above Jefferson
JFFM7	Missouri River at Jefferson City
JFFT2	Little Cypress Creek near Jefferson
JFFW3	Rock River at Jefferson
JHNO3	John Day River near John Day
JHNP1	Clarion River at Johnsonburg
JHSP1	Conemaugh River at Johnstown
JKNK2	North Fork Kentucky River at Jackson
JKNT1	South Fork Forked Deer River at Jackson
JKST2	Mud Creek near Jacksonville
JMEI4	Floyd River at James
JMSK1	Buffalo Creek (KS River Basin) at Jamestown
JNCK1	Lyon Creek near Junction City
JNCT2	Llano River near Junction
JNKO2	Polecat Creek near Jenks
JNSV2	Powell River near Jonesville
JOCT2	Pedernales River at Johnson City
JONV1	Lamoille River at Johnson
JONV1LCH	
JOPM7	Shoal Creek (MO) near Joplin
JOSI2	Rock River near Joslin
JRMM7	Gasconade River at Jerome
JRMS2	James River near Mitchell
JRSP1	West Branch Susquehanna River at Jersey Shore
JRSP1WBS	
JSNM6	Pearl River at Ross Barnett Reservoir
JTBT2	Brazos River at Justiceburg
JUCK1	Smoky Hill River near Junction City
JUDA4	Little Red River at Judsonia
JULC2	South Platte River near Julesburg
KALI4	English River at Kalona
KALO1	Ottawa River near Kalida
KANW2	Kanawha River at Kanawha Falls
KARP1	West Branch Susquehanna River at Karthaus
KARP1WBS	
KASN6	West Canada Creek at Kast Bridge
KASN6HUD	
KAYM7	Blue River at 63rd Street
KBPM7	at Blue Parkway
KBRM7	Blue River at Blue Ridge Blvd Ext
KCCM7	Blue River at Bannister Road
KCDM7	Missouri River at Kansas City
KCTM7	Blue River at 12th Street
KDKS2	White River (NE-SD) near Kadoka
KDRL1	Calcasieu River near Kinder
KEAN1	Platte River near Kearney
KEMT2	Lampasas River near Kempner
KENL1	Tangipahoa River near Kentwood
KENO2	Cimarron River (OK) at Kenton
KEQI4	Des Moines River at Keosauqua
KERC2	South Platte River near Kersey
KEYA2	Kenai River at Kenai Keys
KHBI2	Mississippi River at Keithsburg
KHOT2	Cypress Creek near Hockley
KILO1	Killbuck Creek at Killbuck
KIMO1	Little Miami River at Kings Mills
KINN7	Neuse River at Kinston
KINS1	Black River at Kingstree
KINT1	Harpeth River near Kingston Springs
KINW4	Wind River near Kinnear
KIOK1	Medicine Lodge River near Kiowa
KITM2	North Branch Potomac River at Kitzmiller
KITM2POT	
KLGT2	Rabbit Creek at Kilgore
KLNM6	Jourdan River at Kiln
KLNQ9	Klondike River above Bonanza Creek
KLSN8	Wintering River below Karlsruhe
KLUA2	Klutina River at Copper Center
KNBT2	Dove Creek (Concho River Basin) at Knickerbocker
KNDN8	Sheyenne River at Kindred
KNGO2	Kingfisher Creek at Kingfisher
KNLT2	Sandy Creek near Kingsland
KNRO2	Uncle John Creek at Kingfisher
KNSK1	Arkansas River near Kinsley 2E
KNSO2	Flint Creek (OK) near Kansas
KNXI3	Yellow River at Knox
KNYM7	Blue River at 71 Highway
KOUT2	Village Creek near Kountze
KRBO3	Illinois River near Kerby
KRHA2	Koyukuk River at Hughes
KRKA2	Kenai River below Killey River
KRMW2	Tug Fork River at Kermit
KRRT2	Guadalupe River at Kerrville
KRZL1	Atchafalaya River at Krotz Springs
KSCM6	Yockanookany River near Kosciusko
KSDM7	Blue River at Stadium Drive
KSVM7	Blue River at 17th Street
KSYM7	Blue River at 40 Highway
KTNT2	Sweetwater Creek at Kelton
KTSI3	Kankakee River near Kouts
KTTP1	Allegheny River at Kittanning Lock and Dam
KUPA2	Kuparuk River near Deadhorse
LABW4	Green River (WY-UT-CO) near La Barge
LACT2	Medina River near La Coste
LACW3	Mississippi River at La Crosse
LAFI3	Wabash River at Lafayette
LAFW3	Kickapoo River at La Farge
LAMF1	Aucilla River at Lamont (US 27)
LAMN8	James River at LaMoure
LANM5	Cedar River at Lansing
LAPC2	Purgatoire River near Las Animas
LARO1	Scioto River at Larue
LASO1	
LATI2	Rock River at Latham Park
LATN5	Pecos River above LAKE ARTHUR
LAWI2	Embarras River (IL) at Lawrenceville
LAWK1	Wakarusa River near Lawrence
LAWV2	Meherrin River near Lawrenceville
LBBL1	Bayou Bodcau at Bayou Bodcau Lake
LBNN8	Sheyenne River at Lisbon
LBRG1	Ocmulgee River at Lumber City
LBRN7	Lumber River at Lumberton
LBUL1	Bayou Dorcheat at Lake Bistineau
LBVT1	Buffalo River near Lobelville
LBYT2	Trinity River at Liberty
LCAL1	Bayou D'Arbonne at Lake Claiborne
LCBT2	Wolf Creek at Lipscomb
LCCC2	Lost Canyon Creek above Dolores
LCGK1	Marais Des Cygnes River at La Cygne
LCHL1	Calcasieu River at Saltwater Barrier
LCMI3	Little Calumet River at Munster
LCNM3	Concord River at Lowell
LCNM3MER	
LCNN1	Salt Creek at Lincoln (27th Street)
LCOL1	Big Cypress Creek at Mooringsport (Caddo Lake)
LCPK1	Kansas River at Lecompton
LCRA4	St. Francis River at Lake City
LCRM5	Mississippi River at La Crescent
LCSN6	Cayuga Creek at Lancaster
LCSN6GRL	
LCVN5	Mora River at La Cueva
LDBL1	Bayou D'Arbonne at Lake D&#039;Arbonne
LDLK1	Beaver Creek at Ludell
LDRI2	Des Plaines River at Lincolnshire
LDYN6	Tioga River at Lindley
LDYN6TGA	
LEAO1	Mahoning River at Leavittsburg
LECI4	Mississippi River at LeClaire
LEDC2	Arkansas River at Leadville
LEEV2	Goose Creek near Leesburg
LEEV2GOS	
LEKM6	Chickasawhay River at Leakesville
LEMI2	Des Plaines River near Lemont
LEPO2	Verdigris River near Lenapah
LERI1	Lemhi River near Lemhi
LESN1	Platte River near Leshara
LEVK1	Missouri River at Leavenworth
LEWN1	North Platte River at Lewellen
LFGC2	
LGEM8	Lodge Creek below McRae Creek at International Boundary
LGLW3	Wolf River (WI) at Langlade
LGNI3	Wabash River at Logansport
LGNI4	Boyer River at Logan
LGNN5	Revuelto Creek near Logan
LGNN8	Souris River at Logan
